seroreversion accounted for,test_id,source  (F=FDA testing/M=manufacturer [sometimes through FDA]/O = other),citation,test_name,sensitivity_estimate,sen_lower95CI,sen_upper95CI,number of COVID+ testing seropositive for sensitivity (TP),total number of COVID+ tested for sensitivity (TP + FN),specificity_estimate,spec_lower95CI,spec_upper95CI,number of COVID- testing seronegative for specificity (TN),total number of COVID- tested for specificity (TN + FP),notes
Not yet,4100,,,"Ohio: Abbott Architect IgG, OR Diasorin Liaison S1/S2 spike IgG, OR EDI Novel coronavirus COVID19 IgG anti-nucleocapsid (positive on at least 1 of)",see note to right,,,,,99.8,99.1,99.97,623,624,"treat sensitivity as equivalent to Diasorin with seroreversion (since Diasorin has the lowest seroreversion), treat specificity as equivalent to EDI since most positive samples were EDI positive"
Not yet,4200,,,"Iceland, greater Reykjavik area: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM, OR Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM anti-RBD (positive on either test)",see note to right,,,,,99.80,99.69,99.88,10432,10453,use seroreversion-adjusted sensitivity for whichever assay has higher sensitivity; used specificity for Roche since it's lower specificity
Not yet,4300,,,"Slovenia, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM, AND Elecsys Anti-SARS-CoV-2 Roche spike",see note to right,,,,,see note to right,,,,,use seroreversion-adjusted sensitivity for whichever assay has lower sensitivity; treat specificity as a product of the specificity of test
Not yet,4301,,,"Slovenia, phase 2: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM, AND Elecsys Anti-SARS-CoV-2 Roche spike",see note to right,,,,,see note to right,,,,,use seroreversion-adjusted sensitivity for whichever assay has lower sensitivity; treat specificity as a product of the specificity of test
No,4400,,https://academic.oup.com/ije/article/50/2/410/6146069#247859055  [section S2],"Los Angeles County, phase 1: Premier Biotech COVID-19 IgG/IgM Rapid Test anti-RBD",85.56,79.69,90.26,,,99.53,99.24,99.73,,,
Not yet,4500,,n-82 (table S-5),"Northern California, phase 3: Vitros Ortho total Ig anti-spike (low cutoff), AND Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",see note to right,,,,,see note to right,,,,,"treat specificity as a product of the specificity of test (VITROS and Roche in table S-5 of n-82), use seroreversion-adjusted sensitivity of the assay with lower sensitivity"
No,4600,,"n-253 , https://www.nature.com/articles/s41598-020-76913-6#Sec14  (figure S7)","California, 7 counties, phase 1: Enable’s ADAP SARS-CoV-2 total antibody anti-nucleocapsid",,,,20,20,,,,100,100,
No,4700,,https://www.nature.com/articles/s41598-020-76913-6#Sec14,"California, 7 counties, phase 1: Enable’s ADAP SARS-CoV-2 total antibody anti-spike, OR Enable’s ADAP SARS-CoV-2 total antibody anti-spike",100,89,100,31,31,100,95,100,80,80,
Not yet,4800,,https://www.frontiersin.org/articles/10.3389/fmicb.2020.628281/full,Yokohama: Tosoh anti-nucleocapsid total Ig with AIA-CL1200 ,,,,,,100,99.63,100,1000,1000,
Not yet,4900,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Ireland: Abbott Architect IgG, then re-test positives and borderline samples with Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",see note to right,,,,,99.6,99.0,99.9,1066,1070,treat sensitivity and specificity as equivalent to Abbott since it's used for screening and is more prone to seroreversion than Wantai
Yes,10000,,"n-261 (table 1)  ,  n-264 (for ""at least 2 out of 3 antigens"" and table 1)","Canada, national (CCAHS): CCAHS ELISA anti-spike anti-RBD anti-nucleocapsid (positive on at least 2 out of 3)",79.3,,,115,145,100.0,,,560,560,
Not yet,10100,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phase 1: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
Not yet,10101,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phase 2: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
Not yet,10102,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phase 3: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
Not yet,10103,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phase 4: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
Not yet,10104,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phase 5: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
Not yet,10105,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phase 6: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
Not yet,10106,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phase 7: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
Not yet,10107,,via: https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Arkansas, phases 2,5,7: Beckman ACCESS SARS-CoV-2 anti-RBD",,,,,,99.6,99.2,99.8,1395,1400,
No,10200,,https://www.nature.com/articles/s41598-021-97423-z  [n-287],"Jefferson County, phase 1: in-house Jefferson County anti-spike IgG",100,,,38,38,98.8,,,79,80,
No,10201,,https://www.nature.com/articles/s41598-021-97423-z  [n-287],"Jefferson County, phase 2: in-house Jefferson County anti-spike IgG",100,,,38,38,98.8,,,79,80,
No,10202,,https://www.nature.com/articles/s41598-021-97423-z  [n-287],"Jefferson County, phase 3: in-house Jefferson County anti-spike IgG",100,,,38,38,98.8,,,79,80,
No,10203,,https://www.nature.com/articles/s41598-021-97423-z  [n-287],"Jefferson County, phase 4: in-house Jefferson County anti-spike IgG",100,,,38,38,98.8,,,79,80,
No,10300,,http://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-Rapid-Test.pdf,"Czech Republic, Brno: Wantai rapid test, SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",94.7,,,125,132,98.9,,,268,271,
No,10301,,http://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-Rapid-Test.pdf,"Czech Republic, Prague: Wantai rapid test, SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",94.7,,,125,132,98.9,,,268,271,
No,10302,,http://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-Rapid-Test.pdf,"Czech Republic, Litomerice: Wantai rapid test, SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",94.7,,,125,132,98.9,,,268,271,
No,10304,,http://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-Rapid-Test.pdf,"Czech Republic, Olomouc: Wantai rapid test, SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",94.7,,,125,132,98.9,,,268,271,
No,10305,,http://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-Rapid-Test.pdf,"Czech Republic, Litovel and Uničov: Wantai rapid test, SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",94.7,,,125,132,98.9,,,268,271,
Not yet,10400,,https://www.ijidonline.com/article/S1201-9712(20)30198-3/fulltext,Utsunomiya: YHLO iFlash SARS CoV-2 (spike + nucleocapsid),,,,,,90.9,,,30,33,
