authors / representative study location,initial source,inclusion / exclusion,reason for exclusion,duplicate,study also found in search from representative samples (see column B),citations,,"Medrxiv, term 1","Medrxiv, term 2","PubMed, term 1","PubMed, term 2","Biorxiv, term 1","Biorxiv, term 2"
Iyer et al. #2,PubMed,excluded,special population (largely hospitalized patients),,,https://pubmed.ncbi.nlm.nih.gov/33033172/,https://www.science.org/doi/10.1126/sciimmunol.abe0367,,,"PubMed: ""COVID-19 seroreversion""",,,
Rodríguez-Tajes et al.,PubMed,excluded,special population (hospitalized patients),,,https://pubmed.ncbi.nlm.nih.gov/32969557/,https://onlinelibrary.wiley.com/doi/10.1111/jvh.13410,,,"PubMed: ""COVID-19 seroreversion""",,,
Chia et al.,PubMed,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://pubmed.ncbi.nlm.nih.gov/33778792/,https://www.thelancet.com/journals/lanmic/article/PIIS2666-5247(21)00025-2/fulltext,,,,"PubMed: ""COVID-19 longitudinal, antibody waning""",,
Sakharkar et al.,PubMed,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://pubmed.ncbi.nlm.nih.gov/33622975/,https://www.science.org/doi/10.1126/sciimmunol.abg6916,,,,"PubMed: ""COVID-19 longitudinal, antibody waning""",,
Crooke et al.,PubMed,excluded,no seroreversion data,,,https://pubmed.ncbi.nlm.nih.gov/33190948/,https://www.sciencedirect.com/science/article/pii/S0264410X20313967,,,,"PubMed: ""COVID-19 longitudinal, antibody waning""",,
Perreault et al.,PubMed,excluded,special population (plasma donors),Yes,,https://pubmed.ncbi.nlm.nih.gov/33001206/,https://ashpublications.org/blood/article/136/22/2588/463996/Waning-of-SARS-CoV-2-RBD-antibodies-in,,,,"PubMed: ""COVID-19 longitudinal, antibody waning""",,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Seadawy et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.11.07.367649v1.full,https://biomedres.us/fulltexts/BJSTR.MS.ID.005552.php,,,,"Biorxiv: ""COVID-19 seroreversion""",,
Zeiss et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.05.11.443477v1.full,,,,,"Biorxiv: ""COVID-19 seroreversion""",,
McLeod et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.06.01.446592v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Talla et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2021.05.26.442666v3.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Tan et al. #2,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.06.29.450293v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Narowski et al.,Biorxiv,excluded,special population (healthcare workers),,,https://www.biorxiv.org/content/10.1101/2021.06.19.449100v1.full,https://www.cell.com/cell-reports/fulltext/S2211-1247(22)00052-3,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Wuertz et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.06.16.448525v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Jeffery-Smith et al.,Biorxiv,excluded,special population (nursing home residents and healthcare workers),,,https://www.biorxiv.org/content/10.1101/2021.05.30.446322v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Forgacs et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2021.05.29.445137v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Assis et al.,Biorxiv,excluded,special population (healthcare workers),,,https://www.biorxiv.org/content/10.1101/2021.04.15.440089v4.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Pegu et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2021.05.13.444010v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Sheward et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.04.03.438330v2.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Gallagher et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.05.03.442455v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
King et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.04.09.439166v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Garrido et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.04.05.438479v1.full,https://www.science.org/doi/10.1126/sciimmunol.abj3684,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Wu et al.,Biorxiv,excluded,no non-serologic initial diagnosis,,,https://www.biorxiv.org/content/10.1101/2021.03.26.437123v1.full,https://www.frontiersin.org/articles/10.3389/fimmu.2021.722027/full  [n-242],,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Sandberg et al.,Biorxiv,excluded,special population (hospitalized patients),,,https://www.biorxiv.org/content/10.1101/2021.03.17.435581v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Ketas et al.,Biorxiv,excluded,post-vaccine,,,https://www.biorxiv.org/content/10.1101/2021.03.11.434841v1.full,https://www.paijournal.com/index.php/paijournal/article/view/441,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Tong et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.03.10.434840v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Alrubayyi et al.,Biorxiv,excluded,special population (HIV patients),,,https://www.biorxiv.org/content/10.1101/2021.02.15.431215v1.full,https://www.nature.com/articles/s41467-021-26137-7,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Lim et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2021.02.10.430668v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Zhang et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.01.30.428920v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Collora et al.,Biorxiv,excluded,special population (HIV patients),,,https://www.biorxiv.org/content/10.1101/2021.01.27.428491v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Crooks et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2021.01.25.428184v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Vanshylla et al.,Biorxiv,included,-,,,https://www.biorxiv.org/content/10.1101/2021.01.26.428207v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Anand et al. #3,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2021.01.25.428097v1.full,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(21)00118-X,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Quadeer et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.08.26.267724v2.full,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(21)00155-5,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Castro et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.12.26.424449v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Ferrantelli et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.12.18.423420v1.full,https://www.mdpi.com/2076-393X/9/3/240/htm,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Dan et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2020.11.15.383323v2.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Lehmann et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2020.11.29.402677v1.full,https://www.frontiersin.org/articles/10.3389/fimmu.2021.635942/full,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Pradenas et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.biorxiv.org/content/10.1101/2020.11.22.389056v2.full,https://www.cell.com/med/fulltext/S2666-6340(21)00035-0,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
 Li et al. #2,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.11.15.383463v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Andreoletti et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.10.30.362715v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Ferreras et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.10.23.352294v1.full,https://www.frontiersin.org/articles/10.3389/fcell.2021.620730/full,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Anand et al. #4,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.10.20.346783v1.full,https://onlinelibrary.wiley.com/doi/10.1111/trf.16318,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Tan et al. #3,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (Luminex),,,https://www.biorxiv.org/content/10.1101/2020.10.15.341958v1.full,https://www.cell.com/cell-reports/fulltext/S2211-1247(21)00041-3,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Cross et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.10.14.340091v1.full,https://www.cell.com/cell-reports/fulltext/S2211-1247(21)00151-0,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Gasser et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (Luminex),,,https://www.biorxiv.org/content/10.1101/2020.10.09.333278v1.full,https://www.cell.com/cell-reports/fulltext/S2211-1247(21)00104-2,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Pan et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.10.01.322958v1.full,https://www.cell.com/immunity/fulltext/S1074-7613(21)00185-0,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Khan et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.06.21.163394v2.full,https://insight.jci.org/articles/view/144499,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Takagi + Matsui,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.09.18.304493v1.full,https://journals.asm.org/doi/full/10.1128/JVI.01837-20,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Tan et al. #4,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.09.01.278630v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Gontu et al.,Biorxiv,excluded,special population (plasma donors),,,https://www.biorxiv.org/content/10.1101/2020.08.21.261909v1.full,https://www.nature.com/articles/s42003-021-01813-y,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Noval et al.,Biorxiv,excluded,"special population (healthcare workers),",,,https://www.biorxiv.org/content/10.1101/2020.08.15.252353v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Schulien et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.08.13.249433v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Prévost et al.,Biorxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (Luminex),,,https://www.biorxiv.org/content/10.1101/2020.06.08.140244v3.full,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(20)30168-3,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Weisblum et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.07.21.214759v1.full,https://elifesciences.org/articles/61312,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Christian + Murrell,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.07.14.202150v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Sekine et al.,Biorxiv,excluded,special population (largely blood donors and hospitalized individuals),,,https://www.biorxiv.org/content/10.1101/2020.06.29.174888v1.full,https://www.cell.com/cell/fulltext/S0092-8674(20)31008-4,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Lieberman et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.06.22.165225v1.full,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000849,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Goyal et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.06.21.163550v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Le Sage et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.06.15.103747v1.full,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009273,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Woolsey et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.05.17.100289v1.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Wec et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.05.15.096511v2.full,,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Korber et al.,Biorxiv,excluded,no seroreversion data,,,https://www.biorxiv.org/content/10.1101/2020.04.29.069054v2.full,https://www.cell.com/cell/fulltext/S0092-8674(20)30820-5,,,,,,"Biorxiv: ""COVID-19 longitudinal, antibody waning"""
Kahre et al.,Fei et al.,included,-,,,https://www.nature.com/articles/s41598-021-94453-5,https://www.medrxiv.org/content/10.1101/2021.03.10.21253273v1.full-text,,,,,,
Maine et al.,Fei et al.,excluded,special population (largely hospitalized individuals),,,https://www.sciencedirect.com/science/article/pii/S1386653220304054?via%3Dihub,,,,,,,
Carreño et al.,Google,excluded,"special population (healthcare workers), post-vaccine seroreversion",,,https://www.sciencedirect.com/science/article/pii/S2589004221009056,https://www.medrxiv.org/content/10.1101/2021.02.24.21252340v1.full-text,,,,,,
Thiruvengadam et al.,Google,included,-,,,https://www.ajtmh.org/view/journals/tpmd/105/1/article-p66.xml,https://www.medrxiv.org/content/10.1101/2021.02.04.21251140v1.full-text,,,,,,
Alvim et al.,Google,included,-,,,https://www.medrxiv.org/content/10.1101/2020.07.13.20152884v6.full-text,,,,,,,
McGregor et al.,Google,included,-,,,https://www.medrxiv.org/content/10.1101/2021.10.26.21265501v1.full-text,,,,,,,
Sim et al.,Google,excluded,special population (healthcare workers),,,https://journals.sagepub.com/doi/10.1177/00045632211030957,,,,,,,
Goto et al.,Google,included,-,,,https://www.frontiersin.org/articles/10.3389/fmicb.2021.661187/full,,,,,,,
Choe et al.,Google,included,-,,,https://wwwnc.cdc.gov/eid/article/27/3/20-4543_article,,,,,,,
Rodeles et al.,Google,excluded,no non-serologic initial diagnosis,,,https://iris.paho.org/handle/10665.2/54288,,,,,,,
Domènech-Montoliu et al.,Google,excluded,no non-serologic initial diagnosis,,,https://www.mdpi.com/2673-8112/1/1/6/htm,,,,,,,
Andorra: national,search from representative samples,included,-,,,https://www.sciencedirect.com/science/article/pii/S266677622100096X  [n-43],,,,,,,
Caldari Ortona (Villa Caldari),search from representative samples,included,-,,,https://www.mdpi.com/2076-2607/8/11/1711/htm  [n-107],,,,,,,
California (COVIDVu),search from representative samples,excluded,subset of already included samples,,,https://academic.oup.com/ofid/advance-article/doi/10.1093/ofid/ofab379/6329153  [n-1],,,,,,,
Canada (Ab-C): national,search from representative samples,excluded,no non-serologic initial diagnosis,,,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789086  [n-203],,,,,,,
Canada (CCAHS): national (Colwill et al.),search from representative samples,included,-,,,https://www150.statcan.gc.ca/n1/pub/82-003-x/2022004/article/00003-eng.htm  [n-261],https://onlinelibrary.wiley.com/doi/10.1002/cti2.1380  [n-264],,,,,,
Cantabria,search from representative samples,included,-,,,https://www.nature.com/articles/s41598-021-89236-x  [n-46],,,,,,,
Chelyabinsk and Sverdlovsk regions,search from representative samples,excluded,Obolensk ELISA,,,https://www.epidemvac.ru/jour/article/view/1283,,,,,,,
Cogne,search from representative samples,excluded,no non-serologic initial diagnosis,,,https://www.medrxiv.org/content/10.1101/2021.03.19.21253962v1.full  [n-297],,,,,,,
Connecticut,search from representative samples,included,-,,,https://www.amjmed.com/article/S0002-9343(20)30909-8/fulltext  [n-2],,,,,,,
"Coquimbo-La Serena, Greater Santiago, Talca ",search from representative samples,excluded,assays not used individually,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3933650  [n-100],,,,,,,
"Davis, Salt Lake, Summit, and Utah counties",search from representative samples,included,-,,,https://issuu.com/ecclesschool/docs/utah_hero_report_11.24.20_gardner_at_front,,,,,,,
Delhi,search from representative samples,included,-,,,https://academic.oup.com/trstmh/advance-article/doi/10.1093/trstmh/trab109/6335791  [n-83],"https://www.cureus.com/articles/72911-second-wave-of-the-covid-19-pandemic-in-delhi-india-high-seroprevalence-not-a-deterrent  [n-86]  ,  https://www.medrxiv.org/content/10.1101/2021.12.28.21268451v1.full  [n-153]",,,,,,
Denmark (SSI): national + 30 municipalities subset,search from representative samples,included,-,,,"https://link.springer.com/article/10.1007/s10654-021-00796-8  [n-22]  ,  https://files.ssi.dk/praevalensundersoegelse_runde4  [n-194]",https://covid19.ssi.dk/-/media/cdn/files/praevalensundersoegelse_runde5.pdf?la=da  [n-195],,,,,,
Denmark (We test): national,search from representative samples,included,-,,,https://journals.asm.org/doi/10.1128/Spectrum.01330-21  [n-105],,,,,,,
El Omrane + La Goulette,search from representative samples,included,-,,,https://www.researchsquare.com/article/rs-1317280/v2  [n-196],,,,,,,
Ethiopia: 14 towns (including Addis Ababa #2),search from representative samples,included,-,,,https://www.sciencedirect.com/science/article/pii/S1201971221006615  [n-98],,,,,,,
"Finland (Uusimaa), 4 month seroreversion",search from representative samples,included,-,,,https://thl.fi/en/web/thlfi-en/-/study-by-thl-and-welfare-and-the-city-of-helsinki-antibodies-elicited-by-coronavirus-infection-persist-for-at-least-four-months,,,,,,,
"Finland (Uusimaa), 6 month seroreversion",search from representative samples,included,-,,,https://thl.fi/en/web/thlfi-en/-/thl-s-study-majority-of-people-who-have-had-a-coronavirus-infection-retain-antibodies-for-over-six-months,,,,,,,
Florida: Hillsborough County,search from representative samples,included,-,,,https://wwwnc.cdc.gov/eid/article/28/3/21-1495_article,,,,,,,
Gauteng,search from representative samples,included,-,,,https://academic.oup.com/ije/advance-article/doi/10.1093/ije/dyab217/6414575?rss=1  [n-99],,,,,,,
Germany (Corona-BUND / Forsa),search from representative samples,excluded,assays not used individually,,,https://www.ifo.de/DocDL/studie-2020-corona-bund-endbericht.pdf,,,,,,,
"Grand Est, Île-de-France, Nouvelle-Aquitaine",search from representative samples,included,-,,,https://academic.oup.com/ije/advance-article/doi/10.1093/ije/dyab110/6323645  [n-31],,,,,,,
Great Britain (UK BioBank),search from representative samples,excluded,no non-serologic initial diagnosis,,,https://www.ukbiobank.ac.uk/media/zusjljce/ukb_serologystudy_report_month2_final-1.pdf,https://www.ukbiobank.ac.uk/media/x0nd5sul/ukb_serologystudy_report_revised_6months_jan21.pdf,,,,,,
"Haveri et al. (via Uusimaa, Finland)",search from representative samples,included,-,,,https://onlinelibrary.wiley.com/doi/10.1002/eji.202149535,,,,,,,
Holyoke,search from representative samples,included,-,,,https://www.medrxiv.org/content/10.1101/2021.10.13.21264975v1  [n-78],,,,,,,
Houston,search from representative samples,excluded,assays not used individually,,,https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiab203/6258999,,,,,,,
Hyderabad,search from representative samples,included,-,,,https://www.sciencedirect.com/science/article/pii/S2772707621000229  [n-101],,,,,,,
Iceland: national,search from representative samples,included,-,,,https://www.nejm.org/doi/full/10.1056/NEJMoa2026116,,,,,,,
India: national,search from representative samples,included,-,,,"https://www.ijidonline.com/article/S1201-9712(21)00442-2/fulltext  ,  https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(20)30544-1/fulltext  [n-85]  ,  https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003877  [n-97]",,,,,,,
Ireland: national,search from representative samples,included,-,,,"https://academic.oup.com/jid/article/224/6/1100/6311910  ,  https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.48.2001741  [n-111]",,,,,,,
Irkutsk region,search from representative samples,excluded,Obolensk ELISA,,,https://journal.microbe.ru/jour/article/view/1370/1149,,,,,,,
Ischgl,search from representative samples,included,-,,,"https://www.medrxiv.org/content/10.1101/2021.02.19.21252089v1.full-text  ,  https://www.nature.com/articles/s43856-021-00007-1  [n-109]",,,,,,,
Jersey,search from representative samples,excluded,no non-serologic initial diagnosis,,,https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%2020200609%20SJ.pdf,https://www.gov.je/SiteCollectionDocuments/Government%20and%20administration/R%20Prevalence%20of%20antibodies%2020200707%20SJ.pdf,,,,,,
Kaliningrad region,search from representative samples,excluded,Obolensk ELISA,,,https://journal.niidi.ru/jofin/article/view/1145,,,,,,,
Kashmir (whole region),search from representative samples,included,-,,,https://bmjopen.bmj.com/content/11/9/e053791  [n-91],,,,,,,
Kashmir: Srinagar district,search from representative samples,included,-,,,https://www.ijcmph.com/index.php/ijcmph/article/view/7827  [n-92],,,,,,,
Kennedy et al. (via Arkansas statewide study),search from representative samples,included,-,,,https://academic.oup.com/ofid/article/9/5/ofac154/6553257,,,,,,,
Khabarovsk Krai region,search from representative samples,excluded,Obolensk ELISA,,,https://microbiol.elpub.ru/jour/article/view/983?locale=ru_RU#tab1,,,,,,,
Krasnoyarsk region,search from representative samples,excluded,Obolensk ELISA,,,https://www.actabiomedica.ru/jour/article/view/2872/2184,,,,,,,
Kupferzell,search from representative samples,included,-,,,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.47.2001752  [n-110],,,,,,,
Lebanon: national,search from representative samples,included,-,,,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07031-z  [n-150],,,,,,,
"Leningrad region, excluding St. Petersburg",search from representative samples,excluded,Obolensk ELISA,,,https://journal.microbe.ru/jour/article/view/1371/1150,,,,,,,
Lima Metropolitana (provinces of Lima + Callao),search from representative samples,included,-,,,https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00081-X/fulltext  [k-15],,,,,,,
Lithuania: 6 cities and municipalities,search from representative samples,included,-,,,"n-172  ,  https://www.journals.vu.lt/AML/article/view/22344",,,,,,,
Los Angeles County,search from representative samples,included,-,,,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2788249  [n-174],,,,,,,
greater Male’ area,search from representative samples,included,-,,,https://apjai-journal.org/wp-content/uploads/2022/01/AP-040721-1177.pdf  [n-151],,,,,,,
Mitte (in Berlin) and Bad Feilnbach,search from representative samples,included,-,,,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Berlin-Mitte.html  [n-236],https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Dokumente/Abschlussbericht_2021.pdf?__blob=publicationFile  [n-295],,,,,,
"Miyagi, Osaka, Tokyo, Aichi, Fukuoka",search from representative samples,included,-,,,https://www.mhlw.go.jp/content/10900000/000934787.pdf  [n-280],,,,,,,
Moscow,search from representative samples,excluded,Obolensk ELISA,,,https://www.phdynasty.ru/en/catalog/magazines/infectious-diseases/2020/volume-18-issue-4/40419,,,,,,,
Munich,search from representative samples,excluded,no non-serologic initial diagnosis,,,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-021-06589-4,,,,,,,
Murmansk region,search from representative samples,excluded,Obolensk ELISA,,,https://hiv.bmoc-spb.ru/jour/article/view/605#,,,,,,,
Netherlands: Hartog et al.,search from representative samples,excluded,no non-serologic initial diagnosis,,,https://academic.oup.com/cid/article/73/12/2155/6149064#supplementary-data,,,,,,,
Novosibirsk region,search from representative samples,excluded,Obolensk ELISA,,,https://virusjour.elpub.ru/jour/article/view/539,,,,,,,
"Odisha: Bhubaneswar, Berhampur, Rourkela",search from representative samples,included,-,,,"https://www.cambridge.org/core/journals/epidemiology-and-infection/article/seroprevalence-of-sarscov2-in-bhubaneswar-india-findings-from-three-rounds-of-community-surveys/29A7905F297A1EFA68749AC3C6383300  [n-94]  ,  https://www.nature.com/articles/s41598-021-89877-y  [n-93]",,,,,,,
Portugal (Castro et al.),search from representative samples,included,-,,,"https://onlinelibrary.wiley.com/doi/full/10.1002/eji.202149619  ,  https://wwwnc.cdc.gov/eid/article/27/11/21-0636_article",,,,,,,
Puducherry: Puducherry district,search from representative samples,included,-,,,https://wwwnc.cdc.gov/eid/article/27/2/20-4480_article  [n-87],,,,,,,
Puerto Madryn,search from representative samples,included,-,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0263679  [n-248],,,,,,,
Saarland,search from representative samples,included,-,,,https://www.nature.com/articles/s43856-022-00100-z  [n-289],,,,,,,
St. Petersburg (from Rospotrebnadzor),search from representative samples,excluded,Obolensk ELISA,,,https://journal.microbe.ru/jour/article/view/1372/1151#,,,,,,,
Saratov region,search from representative samples,excluded,Obolensk ELISA,,,https://journal.microbe.ru/jour/article/view/1413?locale=en_US,,,,,,,
Scheiblauer et al. (via Saarland study),search from representative samples,included,-  (Mikrogen GmbH recomLine excluded due to threshold for avidity artiifically deflating sensitivity estimate),,,https://www.sciencedirect.com/science/article/pii/S138665322100319X  [n-290],,,,,,,
Silveira et al. (via Rio Grande do Sul [9 cities] location),search from representative samples,included,-,,,https://www.scielo.br/j/bjid/a/9X43shvTQCxvmMhkNFwFRrq/?lang=en,,,,,,,
Spain: national,search from representative samples,included,-,,,"https://portalcne.isciii.es/enecovid19/informes/informe_final.pdf  [n-104]  ,  https://www.mscbs.gob.es/gabinetePrensa/notaPrensa/pdf/15.12151220163348113.pdf  [n-45]","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31483-5/fulltext  [n-44]  ,  ",,,,,,
Stavropol Krai,search from representative samples,excluded,Obolensk ELISA,,,https://journal.niidi.ru/jofin/article/view/1273,,,,,,,
Straubing,search from representative samples,included,-,,,https://www.rki.de/DE/Content/Gesundheitsmonitoring/Studien/cml-studie/Factsheet_Straubing.html  [n-234],,,,,,,
Switzerland: 11 cantons (for Corona Immunitas),search from representative samples,included,-,,,https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-022-02431-z  [n-299],,,,,,,
